OBJECTID;Name;Address;Postcode;Ward;Toilet opening hours;Male (no. of);Urinals (no. of);Female (no. of);Unisex (no.of);Accessible (no. of);Accessibility info;Changing Place;Automatic opening door;Pull cord monitored (Y/N/Times);Radar Key;Baby change;Family Toilet;Automatic Public Convenience;Attended;Full Time Staffing;geo_shape;geo_point_2d
5170;Tinto Lounge;344-346 Gloucester Road, Horfield, Bristol;BS7 8TP;Bishopston & Ashley Down;Monday-Friday 8am-11pm, Saturday and Sunday 9am-11pm;;;;;0;NONE;;;;;;;;;;"{""coordinates"": [-2.5874469645980946, 51.48301460387944], ""type"": ""Point""}";51.48301460387944, -2.5874469645980946
3505;Cabot Circus Shopping Centre, Lower ground floor;Glass House, Broadmead;BS1 3BX;Central;Monday-Saturday 09:00-20:15, Sunday 09:00-17:30;9;20;19;;4;"YES - 4 standard units; support rails; seat hight 36- 40cm; non slip foor, none reflecting walls/floors, CP seat hight 47cm hoist and changing table";Y;N;Yes 24 hour;Y;Y;;N;Y;Y;"{""coordinates"": [-2.584332317762057, 51.45894030214083], ""type"": ""Point""}";51.45894030214083, -2.584332317762057
5153;The Life Boat;25 High St, Bristol;BS11 0DX;Avonmouth & Lawrence Weston;Monday - Saturday 10:00 - 23:00  Sunday 12:00 - 22:00;1;1;1;;0;None;N;N;;N;N;N;;Y;Y;"{""coordinates"": [-2.6753681789478043, 51.48900359480954], ""type"": ""Point""}";51.48900359480954, -2.6753681789478043
2;Victoria Park Public Conveniences Park Lodge;Somerset Terrace, Bristol;BS3 4LL;Windmill Hill;Winter Monday - Sunday 07:30 - 17.15. Summer 07:30 - 20:30, excluding Christmas Day;1;1;2;;1;YES - Support rail movable, Door 79cm, 126x230cm, Non reflective walls non slip floor acc locks;N;N;no;Y;;N;N;;N;"{""coordinates"": [-2.589757490670152, 51.44008663756342], ""type"": ""Point""}";51.44008663756342, -2.589757490670152
9405;The Blue Lagoon;118 - 20 Gloucester Road Bishopston Bristol;BS7 8AE;Redland;Monday to Thursday 08:30-00:00, Friday 08:30-01:30, Saturday 08:00-01:30, Sunday 09:00-00:00;2;1;3;0;0;N/A;No;No;N/A;No;0;No;No;Yes;<Null>;"{""coordinates"": [-2.593000412320437, 51.4713668958959], ""type"": ""Point""}";51.4713668958959, -2.593000412320437
9410;The Full Moon Backpacker Hotel And Attic Bar;North Street City Centre Bristol;BS1 3PR;Ashley;Monday to Thursday 12:00-00:00, Friday 12:00-02:00, Saturday 12:00-00:00, Sunday 12:00-22:30;3;2;6;0;1;Door over 1 metre, 180 x 180 cubicle, seat height 47cm, support rails by hand basin and toilet not movable, no locking lugs, no mirror, no colour-cont;No;No;Yes - during opening times;Yes;0;No;No;No;<Null>;"{""coordinates"": [-2.5905966314230695, 51.4604464123212], ""type"": ""Point""}";51.4604464123212, -2.5905966314230695
9417;The White Lion;Passage Road, Bristol;BS9 3HN;Westbury-on-Trym & Henleaze;Monday to Sunday 11:00-23:00;2;3;3;0;1;Door over 1 metre, 150 x 180 cubicle, seat height 47cm, support rails by hand basin and toilet are movable, no locking lugs, mirror, colour-contrastin;Yes;No;Yes - during opening times;No;1;No;Yes;No;<Null>;"{""coordinates"": [-2.617279409186638, 51.495075076424975], ""type"": ""Point""}";51.495075076424975, -2.617279409186638
8097;Underfall Yard - Near Cafe;;BS1 6XG;Hotwells & Harbourside;;;;;2;1;Open Access;;;;;;;;;;"{""coordinates"": [-2.618052915668803, 51.44701300860932], ""type"": ""Point""}";51.44701300860932, -2.618052915668803
46;St Andrews Park - Public Conveniences;Melita Road (& Effingham Road), Bristol;BS6 5AZ;Ashley;Monday - Sunday 7:30-21:00, excluding Christmas Day;1;2;3;0;1;currently vandalised closed;N;N;;Y;N;N;N;;N;"{""coordinates"": [-2.5870397331465833, 51.47401541579891], ""type"": ""Point""}";51.47401541579891, -2.5870397331465833
52;Tesco - Callington Road;Callington Road;BS4 5AY;Brislington West;Mon 8am then 24 hours until 10pm on Sats, Sun 10am - 4pm;Yes;0;Yes;0;1;YES - door width 80cm, cubicle 148cmx230cm, seat height 48 cm, no locking lugs, handrails.;N;N;Yes- during open times;N;Y;N;N;;N;"{""coordinates"": [-2.5546502332155696, 51.43247327181327], ""type"": ""Point""}";51.43247327181327, -2.5546502332155696
